dummy,dummy,dummy,1
1,1,1,30.31820639
1,1,2,45.26668676
1,1,3,72.87649992
1,1,4,50.46776332
1,1,5,74.112806
1,1,6,123.1097717
1,1,7,59.32182811
1,1,8,117.0711884
1,1,9,159.3102714
1,1,10,98.54947157
1,1,11,157.7849618
1,1,12,149.1839169
1,1,13,164.1190108
1,1,14,125.416108
1,1,15,187.4886789
1,1,16,189.1368325
1,1,17,128.6888463
1,1,18,280.2868037
1,1,19,18.21718397
1,1,20,542.8122077
1,2,1,1.30825779
1,2,2,1.44618655
1,2,3,0.809835583
1,2,4,1.153722509
1,2,5,1.195473197
1,2,6,7.929713044
1,2,7,1.78462539
1,2,8,2.821133321
1,2,9,1.074900919
1,2,10,3.853301474
1,2,11,1.063074567
1,2,12,11.91669971
1,2,13,6.519941594
1,2,14,1.119699352
1,2,15,1.166888769
1,2,16,1.187087615
1,2,17,1.179529575
1,2,18,1.04946355
1,2,19,9.478187199
1,2,20,27.46159185
1,3,1,25.46779677
1,3,2,21.87058416
1,3,3,18.10972221
1,3,4,20.49811528
1,3,5,19.95813661
1,3,6,48.89518489
1,3,7,37.81979368
1,3,8,35.95121277
1,3,9,34.59431516
1,3,10,42.3199033
1,3,11,46.33932559
1,3,12,63.85194851
1,3,13,89.12782879
1,3,14,1.117264016
1,3,15,87.01279377
1,3,16,78.74453806
1,3,17,49.68256593
1,3,18,106.2971689
1,3,19,1.07839571
1,3,20,253.2407464
1,4,1,35.16580217
1,4,2,64.37072563
1,4,3,114.2582663
1,4,4,76.25202217
1,4,5,107.1980585
1,4,6,192.5418236
1,4,7,88.99561344
1,4,8,170.8708338
1,4,9,248.5335169
1,4,10,148.5600372
1,4,11,231.3607669
1,4,12,232.8895135
1,4,13,248.7208496
1,4,14,180.3643237
1,4,15,291.7617207
1,4,16,286.4277458
1,4,17,184.0761358
1,4,18,435.597631
1,4,19,18.4015544
1,4,20,817.513827
1,5,1,5.027139912
1,5,2,4.948023673
1,5,3,3.852520487
1,5,4,2.986276414
1,5,5,3.64331738
1,5,6,10.83771658
1,5,7,7.096741071
1,5,8,7.737522592
1,5,9,7.238391055
1,5,10,6.511609255
1,5,11,8.264528078
1,5,12,14.7999761
1,5,13,16.66104776
1,5,14,1.157506887
1,5,15,24.04982852
1,5,16,1.12333417
1,5,17,1.17987451
1,5,18,31.14877531
1,5,19,0.843581705
1,5,20,52.17112049
1,6,1,42.42633411
1,6,2,37.40073116
1,6,3,26.07251554
1,6,4,21.28958115
1,6,5,22.48127969
1,6,6,45.69944817
1,6,7,62.65770974
1,6,8,59.34551463
1,6,9,44.82181324
1,6,10,48.11142356
1,6,11,54.29552816
1,6,12,60.34305189
1,6,13,115.5346
1,6,14,93.41271198
1,6,15,1.143465794
1,6,16,144.0814489
1,6,17,59.72266465
1,6,18,131.8140274
1,6,20,315.3548156
1,7,1,1.137665741
1,7,2,1.288561615
1,7,3,1.114646636
1,7,4,1.564381353
1,7,5,2.108029809
1,7,6,1.17563281
1,7,7,0.343840397
1,7,8,1.558826418
1,7,9,1.955855513
1,7,10,2.058212527
1,7,11,4.240801667
1,7,12,0.369699131
1,7,13,3.331851765
1,7,14,0.367452207
1,7,15,4.48038691
1,7,16,0.364922611
1,7,17,4.123575004
1,7,18,2.843691206
1,7,19,0.357166959
1,7,20,14.60678113
1,8,1,2.117540369
1,8,2,1.834497818
1,8,3,1.230682355
1,8,4,0.622852891
1,8,5,0.486746677
1,8,6,0.318513863
1,8,7,0.311789554
1,8,8,2.557229882
1,8,9,2.612759515
1,8,10,2.104501271
1,8,11,1.625060691
1,8,12,0.36634148
1,8,13,1.829108159
1,8,14,0.365061598
1,8,15,4.132742209
1,8,16,4.539005287
1,8,17,2.801983068
