Dummy,Dummy,Dummy,1
1,1,1,0.1
1,1,2,0.096673752
1,1,3,0.087765043
1,1,4,0.088778711
1,1,5,0.081832364
1,1,6,0.084552325
1,1,7,0.078488975
1,1,8,0.080822427
1,1,9,0.074269276
1,1,10,0.079332319
1,1,11,0.076004032
1,1,12,0.079560021
1,1,13,0.07295806
1,1,14,0.079851883
1,1,15,0.074774939
1,1,16,0.069652715
1,1,17,0.082508004
1,1,18,0.063874903
1,1,19,0.056130987
1,1,20,0.038092566
1,2,1,0.1
1,2,2,0.09093815
1,2,3,0.090700721
1,2,4,0.083692171
1,2,5,0.078997701
1,2,6,0.080113783
1,2,7,0.075128867
1,2,8,0.065725824
1,2,9,0.0674582
1,2,10,0.070504053
1,2,11,0.067972896
1,2,12,0.06267536
1,2,13,0.058699327
1,2,14,0.079614852
1,2,15,0.050007443
1,2,16,0.049671352
1,2,17,0.040049349
1,2,18,0.041503676
1,2,19,0.042588685
1,2,20,0.04326014
1,3,1,0.1
1,3,2,0.081488278
1,3,3,0.082057385
1,3,4,0.075277151
1,3,5,0.074534913
1,3,6,0.068608686
1,3,7,0.069302567
1,3,8,0.063279227
1,3,9,0.068666388
1,3,10,0.056509423
1,3,11,0.057591437
1,3,12,0.057768494
1,3,13,0.054181649
1,3,14,0.075404257
1,3,15,0.052233916
1,3,16,0.075751299
1,3,17,0.053242389
1,3,18,0.041973956
1,3,19,0.034514023
1,3,20,0.029113265
1,4,1,0.1
1,4,2,0.098978018
1,4,3,0.090624041
1,4,4,0.092332953
1,4,5,0.085562497
1,4,6,0.088934709
1,4,7,0.083181601
1,4,8,0.08593527
1,4,9,0.079496505
1,4,10,0.085507487
1,4,11,0.082118682
1,4,12,0.086275356
1,4,13,0.079939112
1,4,14,0.087178651
1,4,15,0.082148474
1,4,16,0.078136545
1,4,17,0.089740828
1,4,18,0.070587765
1,4,19,0.06347815
1,4,20,0.043004897
1,5,1,0.1
1,5,2,0.083285706
1,5,3,0.083953858
1,5,4,0.078669703
1,5,5,0.078234967
1,5,6,0.072603252
1,5,7,0.073304874
1,5,8,0.067298004
1,5,9,0.066329999
1,5,10,0.067211487
1,5,11,0.069037169
1,5,12,0.064401986
1,5,13,0.058564166
1,5,14,0.081108572
1,5,15,0.082669057
1,5,16,0.063193064
1,5,17,0.047822029
1,5,18,0.048387447
1,5,19,0.048790463
1,5,20,0.04926336
1,6,1,0.1
1,6,2,0.082512673
1,6,3,0.083383763
1,6,4,0.077020688
1,6,5,0.076137162
1,6,6,0.070887555
1,6,7,0.071236088
1,6,8,0.06497053
1,6,9,0.072775084
1,6,10,0.059974608
1,6,11,0.057248626
1,6,12,0.064601558
1,6,13,0.054234979
1,6,14,0.077275049
1,6,15,0.055112305
1,6,16,0.05501225
1,6,17,0.060650178
1,6,18,0.046701205
1,6,19,0.038222688
1,6,20,0.032166119
1,7,1,0.1
1,7,2,0.064577583
1,7,3,0.06132736
1,7,4,0.060777327
1,7,5,0.056873912
1,7,6,0.057636983
1,7,7,0.052003623
1,7,8,0.052898683
1,7,9,0.054673298
1,7,10,0.051404365
1,7,11,0.046091915
1,7,12,0.048872729
1,7,13,0.053927287
1,7,14,0.044939945
1,7,15,0.037014698
1,7,16,0.031791223
1,7,17,0.037878056
1,7,18,0.039326914
1,7,19,0.040056588
1,7,20,0.040189001
1,8,1,0.1
1,8,2,0.08384023
1,8,3,0.078636163
1,8,4,0.074573407
1,8,5,0.079045525
1,8,6,0.073945985
1,8,7,0.066598046
1,8,8,0.064733805
1,8,9,0.069127102
1,8,10,0.069620112
1,8,11,0.065925159
1,8,12,0.064726931
1,8,13,0.071662689
1,8,14,0.060874168
1,8,15,0.051026835
1,8,16,0.042432721
1,8,17,0.04469929
1,8,18,0.045994093
1,8,19,0.046703148
1,8,20,0.046703148
1,9,1,0.1
1,9,2,0.084087079
1,9,3,0.080478897
1,9,4,0.080101464
1,9,5,0.074032887
1,9,6,0.079388395
1,9,7,0.070804944
1,9,8,0.073089654
1,9,9,0.065767357
1,9,10,0.064847865
1,9,11,0.063966472
1,9,12,0.068214577
1,9,13,0.068214577
1,9,14,0.05929114
1,9,15,0.048061329
1,9,16,0.065767751
