DUMMY,DUMMY,DUMMY,1
1,1,1,400.4836768
1,1,2,595.318593
1,1,3,1036.336837
1,1,4,650.2919467
1,1,5,1023.76217
1,1,6,1840.90343
1,1,7,725.4041205
1,1,8,1710.120035
1,1,9,2419.398076
1,1,10,1397.796413
1,1,11,2416.295247
1,1,12,2251.035321
1,1,13,2523.060363
1,1,14,1840.9461
1,1,15,2912.072215
1,1,16,2952.166136
1,1,17,1907.156654
1,1,18,4501.41932
1,1,20,3610.738462
1,2,1,7.682134518
1,2,2,6.797991451
1,2,3,0.163163488
1,2,4,3.16470832
1,2,5,2.769013344
1,2,6,63.42671699
1,2,7,7.00672856
1,2,8,16.42428195
1,2,10,25.86587424
1,2,12,98.80439862
1,2,13,50.23057828
1,2,19,85.99961722
1,2,20,97.17656677
1,3,1,226.891284
1,3,2,192.116295
1,3,3,157.1300245
1,3,4,178.6831337
1,3,5,173.009198
1,3,6,435.1239581
1,3,7,333.967815
1,3,8,317.0270697
1,3,9,304.4741925
1,3,10,374.889601
1,3,11,411.5608871
1,3,12,570.0362748
1,3,13,799.7711319
1,3,15,780.3643804
1,3,16,705.6187557
1,3,17,441.5963627
1,3,18,955.5012878
1,3,20,896.1267225
1,4,1,483.0324999
1,4,2,920.7919148
1,4,3,1741.663934
1,4,4,1089.607223
1,4,5,1587.641103
1,4,6,3024.621485
1,4,7,1230.996063
1,4,8,2627.27102
1,4,9,3940.650877
1,4,10,2250.280367
1,4,11,3670.754742
1,4,12,3678.180628
1,4,13,3965.540497
1,4,14,2777.700969
1,4,15,4690.027047
1,4,16,4611.073835
1,4,17,2851.464605
1,4,18,7149.882477
1,4,20,5438.029168
1,5,1,41.13350618
1,5,2,38.32740607
1,5,3,27.53848115
1,5,4,19.5626615
1,5,5,24.7596534
1,5,6,89.59873966
1,5,7,54.99803234
1,5,8,60.82557827
1,5,9,56.05810129
1,5,10,49.77809578
1,5,11,65.88293788
1,5,12,124.7616295
1,5,13,142.0397234
1,5,15,208.8644223
1,5,18,273.438342
1,5,20,184.6145847
1,6,1,380.4724279
1,6,2,332.7846217
1,6,3,229.1497405
1,6,4,185.6359589
1,6,5,195.6841919
1,6,6,405.9142009
1,6,7,559.1264822
1,6,8,529.0870617
1,6,9,397.0684291
1,6,10,427.2311732
1,6,11,483.5415009
1,6,12,537.9933638
1,6,13,1039.162059
1,6,14,837.9405966
1,6,16,1298.239335
1,6,17,532.4879204
1,6,18,1186.818223
1,6,20,1115.92578
1,7,1,22.51660542
1,7,2,23.96393728
1,7,3,19.19034946
1,7,4,29.3774286
1,7,5,41.11672484
1,7,6,19.37142522
1,7,8,27.55654502
1,7,9,36.42713094
1,7,10,39.05673078
1,7,11,89.19958388
1,7,13,68.36430163
1,7,15,94.469682
1,7,17,86.24948936
1,7,18,57.1360561
1,7,20,130.4029831
1,8,1,44.94703646
1,8,2,36.46106263
1,8,3,21.84669699
1,8,4,7.825890861
1,8,5,4.005849795
1,8,8,50.41022073
1,8,9,51.46408404
1,8,10,40.11754484
1,8,11,29.32552904
1,8,13,33.96919744
1,8,15,86.50094349
1,8,16,96.04718709
1,8,17,55.98191438
1,8,20,112.9652171
1,9,1,124.9784283
1,9,2,107.0653315
1,9,3,93.02244556
1,9,4,67.6583592
