DUMMY,DUMMY,DUMMY,1
1,1,1,116.6291661
1,1,2,176.7582502
1,1,3,206.6580015
1,1,4,210.4954042
1,1,5,240.3193299
1,1,6,258.879229
1,1,7,286.3997701
1,1,8,286.6674485
1,1,9,297.8268901
1,1,10,283.0812993
1,1,11,274.9137617
1,1,12,293.4727019
1,1,13,276.1833364
1,1,14,298.1738504
1,1,15,285.7687952
1,1,16,273.7860809
1,1,17,287.7837156
1,1,18,279.2033854
1,1,19,310.7156033
1,1,20,5647.565286
1,2,1,4.188243945
1,2,2,6.323873215
1,2,3,7.184818638
1,2,4,7.303505916
1,2,5,8.07802261
1,2,6,8.522936685
1,2,7,9.185935419
1,2,8,9.173058626
1,2,9,9.753032481
1,2,10,9.096766279
1,2,11,9.645726964
1,2,12,9.320878131
1,2,13,8.927620394
1,2,14,10.15950768
1,2,15,10.58767731
1,2,16,10.77095001
1,2,17,10.7023727
1,2,18,9.522228428
1,2,20,151.9941172
1,3,1,4.1888506
1,3,2,6.324802117
1,3,3,7.18717512
1,3,4,7.304970441
1,3,5,8.079450364
1,3,6,8.522817024
1,3,7,9.1872326
1,3,8,9.173549896
1,3,9,9.414718838
1,3,10,9.096852135
1,3,11,8.895491226
1,3,12,9.319567788
1,3,13,8.923505466
1,3,14,10.13741085
1,3,15,9.139646159
1,3,16,8.863875776
1,3,17,9.194654924
1,3,18,8.97806305
1,3,19,9.784742199
1,3,20,1401.634104
1,4,1,116.7618183
1,4,2,177.1268902
1,4,3,207.1458394
1,4,4,210.9611368
1,4,5,240.7484812
1,4,6,259.406881
1,4,7,286.9293074
1,4,8,287.1330016
1,4,9,298.3819938
1,4,10,283.5866498
1,4,11,275.3765813
1,4,12,294.0252759
1,4,13,276.6875537
1,4,14,298.6257433
1,4,15,286.3139313
1,4,16,274.2898975
1,4,17,288.17145
1,4,18,279.7499507
1,4,19,313.860259
1,4,20,8505.635365
1,5,1,4.479868935
1,5,2,6.568113822
1,5,3,7.417073141
1,5,4,7.533092481
1,5,5,8.29771227
1,5,6,8.736464919
1,5,7,9.39371292
1,5,8,9.380249835
1,5,9,9.618894427
1,5,10,9.30450004
1,5,11,9.104634777
1,5,12,9.524838296
1,5,13,9.133037788
1,5,14,10.5025515
1,5,15,9.349884276
1,5,16,10.19248793
1,5,17,10.70550244
1,5,18,9.18772318
1,5,19,7.654175022
1,5,20,288.7561452
1,6,1,4.479717202
1,6,2,6.568093727
1,6,3,7.417264239
1,6,4,7.533451157
1,6,5,8.298005049
1,6,6,8.736297916
1,6,7,9.393524978
1,6,8,9.379992718
1,6,9,9.618915316
1,6,10,9.304202549
1,6,11,9.10488186
1,6,12,9.524769787
1,6,13,9.132427571
1,6,14,9.632605402
1,6,15,10.3751507
1,6,16,9.072832447
1,6,17,9.401176207
1,6,18,9.186420271
1,6,20,1745.422373
1,7,1,3.525918866
1,7,2,5.532773355
1,7,3,6.325240087
1,7,4,6.433124462
1,7,5,7.138589106
1,7,6,7.540210516
1,7,7,7.87091635
1,7,8,8.126848964
1,7,9,8.344732056
1,7,10,8.058206214
1,7,11,7.877418991
1,7,12,8.462853592
1,7,13,7.905755012
1,7,14,8.411418819
1,7,15,8.091712532
1,7,16,8.353513357
1,7,17,8.144055514
1,7,18,7.959423717
1,7,19,8.175977239
1,7,20,203.9636402
1,8,1,3.525985526
1,8,2,5.53277813
1,8,3,6.325088419
1,8,4,6.431953907
1,8,5,7.136361576
1,8,6,7.291161807
1,8,7,7.137234365
1,8,8,8.127818089
1,8,9,8.345094224
1,8,10,8.05699666
1,8,11,7.874046356
1,8,12,8.385992951
1,8,13,7.901267612
1,8,14,8.356694929
1,8,15,8.102449633
1,8,16,7.856051927
1,8,17,8.158816475
1,8,18,8.385877322
1,8,19,7.569954217
1,8,20,176.6891857
1,9,1,4.796549194
1,9,2,7.129216423
1,9,3,8.085840496
1,9,4,8.217000305
1,9,5,9.082143832
1,9,6,9.579417466
1,9,7,10.32673228
1,9,8,10.31182719
1,9,9,10.58385359
1,9,10,10.22543091
1,9,11,9.998693238
1,9,12,11.04418596
1,9,13,11.51160441
1,9,14,11.76699569
1,9,15,10.2738435
1,9,16,10.69326433
1,9,17,10.33560775
1,9,18,10.06320584
1,9,19,9.101362844
1,9,20,424.4666507
1,10,1,4.796538975
1,10,2,7.129196266
1,10,3,8.085831227
1,10,4,8.217021601
1,10,5,9.081347513
1,10,6,9.577855607
1,10,7,9.842148609
1,10,8,10.16168516
